,District,SowingSeedsDistributed_Maize_320,LivestockCensus_2012_Cattle_354,LivestockCensus_2012_Buffaloes_355,RuralRationCardHolders_47,TotalBPLPriorityCardHoldersAkshayaWithoutCylinder_39,RuralRationShops_29,PWDRoadLength_MajorDistrictRoads_521,MotorVehicles_Trailers_515,NetAreaIrrigatedUnderDifferentSources_OtherSources_GrossIrrigatedArea_186,NetAreaIrrigatedUnderDifferentSources_OtherSources_NetIrrigatedArea_187,NetAreaIrrigatedUnderDifferentSources_TotalGrossIrrigatedArea_188,NetAreaIrrigatedUnderDifferentSources_TotalNetIrrigatedArea_189,NetAreaIrrigatedUnderDifferentSources_TubeWells_GrossIrrigatedArea_181,NetAreaIrrigated_Wells_GrossIrrigatedArea_178,NetAreaIrrigated_Wells_NetAreaIrrigated_179,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea_182,NetAreaIrrigatedUnderDifferentSources_LiftIrrigation_No_183,AreaUnderCereals_Maize_193,MotorVehicles_Tractors_514,TotalAgricultureLoan,TotalNPK_315,Maize_Production_226,Sowing Seeds,Medium Landholdings,Small Landholdings,Institutions Area
0,BENGALURU,4.45,48.26301383,2.986976731,65.59899851,0.309545915,0.085513826,0.25533651,3.939996517,0,0,3.97674626,3.36118806,3.902540047,0,0,3.303236541,0,1129,5.172526369,1.842670999,8.236889579,2879,2.96E-05,0.124965322,0.132517842,0.000750602
1,BENGALURU(R),134.73,3946.973573,605.913378,4298.428681,0,7.878041951,16.62838445,22.04360634,0,0,589.8342198,523.3057709,568.3125027,20.65190177,18.41523371,504.0207218,0.024851867,14867,24.37968187,540.6113687,478.6221134,42583,0.527840671,134.9827245,166.9007676,0.019588832
2,RAMANAGARA,260.15,229.8869816,27.08345803,196.7497927,68.06201525,0.392731812,1.369652196,2.988830617,0,0,31.43358202,29.96437585,21.51356563,0,0,21.11198851,0.003538124,1987,10.08984636,27.60077605,6.609216447,10450,0.00684374,1.116727889,1.4808943,0.001052276
3,CHITRADURGA,5004,25466.97936,14109.58294,27762.60662,10512.40176,48.64673156,193.4718361,1081.028223,0,0,9917.840858,8707.118787,9721.130829,0,0,8539.116792,9.877040373,92194,1715.743452,11438.14907,3312.408568,271975,140.3401311,4452.966559,3578.280705,12.53637862
4,DAVANAGERE,6124.6,22095.0988,11703.49921,19035.01994,20525.17076,40.91993003,106.7178468,1457.814093,148.4428681,123.3586183,13982.57297,11578.07796,6586.31225,57.22136557,57.22136557,5214.06406,103.9299686,173400,2151.589882,7053.508066,6629.960175,593544,105.11565,2088.445409,2010.405886,17.43746536
5,KOLAR,51.5,22.67357687,4.541526277,22.48964288,6.954051244,0.046329983,0.119386822,0.872449016,0,0,2.477070157,1.993773198,2.477070157,0,0,1.993773198,0,640,1.668572356,7.690519781,2.196714362,1759,5.07E-05,0.056733474,0.066952571,0.000102437
6,CHIKKABALLAPURA,3538.15,20583.13568,3938.836384,19467.327,8789.186686,38.60293613,82.99965493,573.1115561,0,0,4883.93987,4208.722712,4883.93987,0,0,4208.722712,1.754678915,59377,953.4591,4975.678661,2369.401428,105491,85.45624092,1300.580151,1517.254949,6.593715295
7,SHIVAMOGGA,3814.02,19291.39904,5073.835179,8361.011171,0.542964672,14.3885638,71.47213648,405.7642861,174.9703654,153.3535844,5558.974113,4770.182187,1458.403108,235.5787969,217.1858686,1097.704889,140.8993323,43827,608.8330733,3461.945461,1921.042943,226532,23.84296994,401.8775899,479.7512971,1.312794292
8,TUMAKURU,1639.85,2731.634215,938.6816587,2551.804622,918.5157429,4.65925425,19.62043579,118.4404198,0,0,918.4690986,822.526813,845.9215557,4.669619665,4.669619665,749.9792702,0.04664437,24207,137.5179669,764.1724781,197.7099345,66868,0.611841881,71.79800401,59.67496446,0.051488965
9,CHIKKAMAGALURU,2923.79,4876.30443,1023.721162,3111.017397,2067.203161,6.572500758,23.58617734,157.7400182,209.756667,196.6838908,930.1749754,760.7777965,509.563817,2.498994794,2.498994794,378.0849117,58.86360569,25831,229.4163891,1146.317946,980.2848768,61353,5.076040151,123.6062886,133.8806263,1.272573417
10,DAKSHINA KANNADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,UDUPI,0,0.035427337,0.001243281,0.026070259,0.005240868,3.43E-05,0.000111297,2.26E-05,0.000675189,0.00058805,0.00471494,0.004360058,9.82E-05,0.003596887,0.003345588,9.82E-05,0.000315529,8,0.000608289,0.003927119,0.000864085,109,0,1.67E-06,1.84E-06,1.63E-08
12,HASSAN,8925.33,37600.92738,8758.462893,23254.28195,10234.63689,46.87250784,194.1458035,938.5661688,242.5466279,224.6284337,6061.24767,5203.406376,1517.900446,43.33846955,31.24833856,1450.381714,1.240013435,79058,1431.657511,6788.447349,4242.767968,333937,137.7903727,1493.05208,2172.375956,7.564681934
13,KODAGU,246.41,653.1150504,106.9174183,829.8729708,197.0542084,1.972019252,6.252113472,31.88467083,0.546552152,0.546552152,11.48498104,11.48498104,0.782899029,0,0,0.782899029,0.081244239,3448,50.48221569,375.5474319,302.4279862,17921,0.156407712,23.41767668,15.15328641,0.166938145
14,MANDYA,794.03,209.9183029,83.29190096,249.3599795,70.38851354,0.36346764,1.614614839,5.219624267,0.539763755,0.482524757,86.63523086,73.43076631,11.85076224,4.293497272,3.139559064,9.172549499,0.050942709,4892,6.633427528,54.94097857,34.66279267,19387,0.01087364,0.811781047,1.237055772,0.009216226
15,MYSURU,1573.43,6893.110668,569.6971231,5914.707693,131.0256974,8.855460687,32.65093649,120.38911,0,0,1884.419456,1687.529702,287.2756602,150.7811514,128.491982,248.881092,0.037629436,37283,252.2677413,1272.733903,777.8506218,137154,2.210329978,116.5746318,165.7828259,0.588604679
16,CHAMARAJANAGAR,2054.6,24621.61291,1958.980759,20800.16076,10954.04791,40.14189518,92.81969156,221.9058972,0,0,7258.648818,6778.165339,4388.690891,225.0947394,175.3863177,4133.302151,0.468947374,38569,345.6142144,2774.527136,2232.470867,147886,59.01446022,1513.218538,2128.754351,6.979710811
17,BELAGAVI,11883.58,42669.64833,59694.59567,57414.61724,27369.74575,94.2163639,219.2362246,3513.140353,6424.346824,5139.434274,37362.87024,30643.78239,12297.71865,12039.46937,9884.512965,10055.59952,468.0588346,131163,3342.701583,20682.3798,12955.07393,576758,229.4707492,5488.684781,4305.625098,4.846785063
18,VIJAYAPURA,2682.76,9342.38304,5791.705182,11245.9732,6654.036398,25.66132284,88.70731618,589.9150433,363.3200242,330.7172212,11353.38153,10444.4907,4782.716737,2979.482657,2694.623513,4191.28786,0.073845533,40207,916.3861463,8079.441652,2002.247792,226327,19.03369809,2013.758106,1254.307338,0.539206286
19,BAGALKOT,5678.15,20442.86078,17178.83648,16680.74226,10998.532,38.04479933,116.0520022,1633.365663,8473.162115,7894.734839,18571.93461,17033.68094,9457.64446,459.2446257,360.6207998,8596.441897,1.390098437,44300,1764.473895,16148.69379,6205.10677,251699,112.368554,2908.444061,2164.472271,2.236229512
20,DHARAWAD,2471.35,5765.306885,2365.64393,5790.44704,1941.742244,7.884190527,41.3101832,291.9530628,0,0,1589.750327,1088.762084,796.7197665,0,0,619.3106038,0,30900,425.1810069,2334.438601,1112.146891,90634,12.6823902,494.2403951,367.6448567,1.000694394
21,GADAG,4111,8228.827554,3518.053792,9444.736256,6856.366063,14.7092708,68.01970602,756.7487202,823.2000141,693.2392804,5480.212833,4890.169182,2736.731937,21.51591376,21.51591376,2403.321799,0.692200979,34163,1611.674613,4756.741675,1342.869899,138476,56.95395941,1644.003539,1216.772646,4.280898433
